dataset,method,epoch,entropy_mean,entropy_std,weight_max_mean,weight_max_std
synthetic_spurious,groupdro,1,1.098555056510433,2.433715442326598e-05,0.3364428597111856,0.0009214268272682633
synthetic_spurious,groupdro,2,1.0954728803327005,0.0011884988116593785,0.36359385078953166,0.0068588039575408445
synthetic_spurious,groupdro,3,1.0737065153737222,0.007479324588679731,0.4287812034929953,0.016202119598436968
synthetic_spurious,groupdro,4,1.029642783057305,0.01551370044185893,0.5001804974771316,0.020039716925930793
synthetic_spurious,groupdro,5,0.9808577529845699,0.0209860324347679,0.5558485454128634,0.020426526610987948
synthetic_spurious,groupdro,6,0.9356596758288722,0.024812740157406164,0.5975625176583567,0.020096102419422793
synthetic_spurious,groupdro,7,0.8935851558562249,0.029833785761850754,0.6313905412150967,0.021399078617627534
synthetic_spurious,groupdro,8,0.8539887520574755,0.035815736513285554,0.6603661087251478,0.023250057634027734
synthetic_spurious,groupdro,9,0.8197409664430927,0.041498239183859566,0.6831466205658451,0.025193123721276377
synthetic_spurious,groupdro,10,0.7872583835355698,0.04929776649471848,0.7036187971791914,0.028435620458207272
synthetic_spurious,groupdro,11,0.7597465999664799,0.05697649213852331,0.719836276192819,0.03143550961295363
synthetic_spurious,groupdro,12,0.7364030141984262,0.06255768334895812,0.7330341031474452,0.03321047979192302
synthetic_spurious,groupdro,13,0.7146584668467122,0.06957825791811029,0.7449286518558379,0.035837429834633026
synthetic_spurious,groupdro,14,0.6939907977657934,0.07402571275709462,0.7558378800269097,0.0367711121156522
synthetic_spurious,groupdro,15,0.6775923740479255,0.08048025999845441,0.7640670795594492,0.03923023934443489
synthetic_spurious,groupdro,16,0.663202428433203,0.08450053262722207,0.7711833407801966,0.040332444916692384
synthetic_spurious,groupdro,17,0.6493202451736696,0.0877761956826522,0.7779199973229438,0.04104106497080457
synthetic_spurious,groupdro,18,0.6387554995475277,0.09105689427687767,0.782789696032001,0.042028739472178896
